author,description,experiment_id,id,inserted_at,updated_at,RT,condition,correctness,f,j,keyPressed,size,trial,trial_number,trial_type,comments,dominantHand,education,endTime,f,j,languages,startDate,startTime,timeSpent
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,639,conjunction,correct,absent,present,j,1,positive,10,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,611,feature,correct,absent,present,j,1,positive,11,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,870,feature,correct,absent,present,j,5,positive,12,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,696,conjunction,correct,absent,present,f,1,negative,13,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,845,feature,correct,absent,present,j,30,positive,14,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,777,conjunction,correct,absent,present,f,5,negative,15,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,1058,feature,correct,absent,present,f,15,negative,16,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,899,conjunction,correct,absent,present,j,15,positive,17,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,622,feature,correct,absent,present,f,5,negative,18,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,835,feature,correct,absent,present,j,5,positive,19,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,1103,conjunction,correct,absent,present,f,15,negative,20,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,737,conjunction,correct,absent,present,j,30,positive,21,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,573,feature,correct,absent,present,j,1,positive,22,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,548,feature,correct,absent,present,j,30,positive,23,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,1013,conjunction,correct,absent,present,f,1,negative,24,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,465,conjunction,correct,absent,present,j,1,positive,25,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,760,conjunction,correct,absent,present,f,5,negative,26,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,879,feature,correct,absent,present,j,15,positive,27,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,793,conjunction,correct,absent,present,j,5,positive,28,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,2024,conjunction,correct,absent,present,f,30,negative,29,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,922,feature,correct,absent,present,f,30,negative,30,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,681,feature,correct,absent,present,f,1,negative,31,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,813,2018-05-05 06:02:07.276931,2018-05-05 06:02:07.299516,823,feature,correct,absent,present,f,15,negative,32,main,,right,BSc,1525500102704,absent,present,975571,Sat May 05 2018 07:53:28 GMT+0200 (Mitteleuropäische Sommerzeit),1525499608038,8.244433333333333
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,2,conjunction,correct,absent,present,f,15,negative,1,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,937,conjunction,correct,absent,present,j,30,positive,2,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,1543,feature,correct,absent,present,f,15,negative,3,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,747,feature,correct,absent,present,j,1,positive,4,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,845,conjunction,correct,absent,present,f,1,negative,5,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,574,conjunction,correct,absent,present,j,1,positive,6,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,828,feature,correct,absent,present,f,5,negative,7,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,806,feature,correct,absent,present,j,15,positive,8,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,826,conjunction,correct,absent,present,f,30,negative,9,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,751,feature,correct,absent,present,f,1,negative,10,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,827,conjunction,correct,absent,present,j,15,positive,11,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,1005,conjunction,incorrect,absent,present,f,5,positive,12,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,1252,feature,correct,absent,present,j,30,positive,13,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,1573,feature,correct,absent,present,f,30,negative,14,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,608,feature,correct,absent,present,j,5,positive,15,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,837,conjunction,correct,absent,present,f,5,negative,16,practice,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,894,conjunction,incorrect,absent,present,f,30,positive,1,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,1292,feature,correct,absent,present,f,30,negative,2,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,890,feature,correct,absent,present,j,1,positive,3,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,1033,feature,correct,absent,present,f,5,negative,4,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,1021,conjunction,correct,absent,present,f,15,negative,5,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,579,feature,correct,absent,present,j,5,positive,6,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,708,conjunction,correct,absent,present,j,1,positive,7,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,573,conjunction,correct,absent,present,f,1,negative,8,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,701,feature,incorrect,absent,present,f,15,positive,9,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,1427,feature,correct,absent,present,f,15,negative,10,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,862,feature,correct,absent,present,f,1,negative,11,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,825,conjunction,correct,absent,present,f,30,negative,12,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,656,feature,correct,absent,present,j,30,positive,13,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,1053,conjunction,correct,absent,present,j,15,positive,14,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,1089,conjunction,correct,absent,present,j,5,positive,15,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
MF,Treisman & Gelade (1980) Exp 1,FeatureIntegrationICNP18,814,2018-05-05 06:31:57.999178,2018-05-05 06:31:57.999224,502,conjunction,incorrect,absent,present,j,5,negative,16,main,,right,BSc,1525501916248,absent,present,973155,Sat May 05 2018 08:21:38 GMT+0200 (Mitteleuropäische Sommerzeit),1525501298114,10.302233333333334
